X,Y,Z,surface,face,dip,azimuth,polarity
3.0,0.0,99.84,Topsoil,EAST FACE,0.12,90.0,1
3.0,0.0,99.72,"Mixed Light Soil, Stones and Tile",EAST FACE,0.01,90.0,1
3.0,0.0,99.63,Tile Layer,EAST FACE,0.0,90.0,1
2.8,0.0,99.5,Dark Gray,EAST FACE,0.05,90.0,1
2.8,0.0,99.4,Buff-Gray,EAST FACE,0.12,90.0,1
2.8,0.0,99.26,Brown-Yellow,EAST FACE,0.06,90.0,1
2.8,0.0,99.08,Virgin Soil,EAST FACE,0.06,90.0,1
11.4,0.0,99.84,Topsoil,SOUTH FACE,0.04,90.0,1
11.2,0.0,99.66,"Mixed Light Soil, Stones and Tile",SOUTH FACE,0.07,90.0,1
11.2,0.0,99.54,Tile Layer,SOUTH FACE,0.03,90.0,1
11.2,0.0,99.44,Dark Gray,SOUTH FACE,0.03,90.0,1
11.2,0.0,99.34,Buff-Gray,SOUTH FACE,0.03,90.0,1
11.2,0.0,99.2,Brown-Yellow,SOUTH FACE,0.03,90.0,1
11.2,0.0,99.02,Virgin Soil,SOUTH FACE,0.03,90.0,1
23.0,0.0,99.82,Topsoil,WEST FACE,0.35,90.0,1
23.0,0.0,99.67,"Mixed Light Soil, Stones and Tile",WEST FACE,0.1,90.0,1
23.0,0.0,99.59,Tile Layer,WEST FACE,0.1,90.0,1
23.0,0.0,99.49,Dark Gray,WEST FACE,0.1,90.0,1
23.0,0.0,99.39,Buff-Gray,WEST FACE,0.1,90.0,1
23.0,0.0,99.25,Brown-Yellow,WEST FACE,0.1,90.0,1
23.0,0.0,99.07,Virgin Soil,WEST FACE,0.1,90.0,1
